Status,Disbursement,Date of Disbursement,YEAR of Disbursement,Contract,Gender,Repeat SME,"Last Study
Date","Date of creation 
of the Health SME",Average Age of the SME (years),"Specialty of the 
Medical Equipment",SPECIALTY GROUP,Brand,Model,Year,Serial Number, Equipment Value ($ Mexican Pesos) , Equipment Value (€ Euro) ,"Number of 
Consultations per Day","Number of 
Consultations per Month",Income per Consultation (MXN),Patients (BACKBONE),Pacientes (Monthly Consultations times 6?),Number of Surgeries or Treatments per Month,Income per Surgeries or Treatments (MXN),Number of Childbirths per Month,CLINIC SIZE BACKBONE,Clinic Size,% of Patients with Middle-Low to Low Income,"Number of Beds 
 Ambulatory or for Hospitalization",Number of Doctors,Non Medical Staff,Total Staff,Attends Patients with Health Insurance,Location of the Health SME,ZIP CODE,REGION (BACKBONE),Country,State,Municipality,City,Address,Instagram,Facebook,LinkedIn,Web Page,Final_Address,latitud,longitud,Alt_Address_1,Alt_Address_2,geometry,index_right,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVEGEO,AMBITO,POBTOT,VIVTOT,PEA,P_12YMAS,PDER_SS,VPH_C_SERV,PRO_OCUP_C,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_PC,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,Clave de entidad,Entidad federativa,clave_municipio,Municipio,Pobreza_Porcentaje_2020,Pobreza_extrema_Porcentaje2020,Carencia_acceso_seguridad_social_Porcentaje2020,Carencia_acceso_alimentación_Porcentaje2020,Rezago_educativo_Porcentaje2020,tasa_empleo,NSE_score,NSE,precio_promedio
Paid Off,D2.3,30/6/2023,2023,AP2239-005,Enterprise,Yes,0,1/1/2007,"18,01",Imagenology,Radiology & Imaging,Electronic Care,OPMI Pico-Dental Standard,2022,92405," $ 415 905,69 "," $ 19 043,30 ",1120,22400," $ 620,00 ",  67 200 ,67200,504," $ 7 000,00 ",,Medium,Medium,30%,100,72,150,222,Yes,Urban,86190,South,Mexico,Tabasco,Centro,Villahermosa,"Centro, Tabasco, Mexico",https://www.instagram.com/ceracom_villahermosa/,https://www.facebook.com/CERACOM/?ref=page_internal,https://ceracom.mx/?fbclid=IwAR0H9BDP9oHQ-4rqb_UosOWDrZ-C5z20-mGbWYS59oSvW-Aw6xjfuYwzDtE,,"AV CESAR SANDINO 639, Centro, Tabasco, Mexico",17.9759455,-92.9350639,"CENTRO, TABASCO, MEXICO","TABASCO, MEXICO",POINT (-92.9350639 17.9759455),54291,27,004,0001,1492,2700400011492,Urbana,6670,2528,3485.0,5653.0,4938.0,2070.0,0.91,1969.0,1694.0,922.0,778.0,1054.0,1395.0,836.0,584.0,271.0,27.0,Tabasco,4.0,Centro,35.8057118373,6.4020908474,52.6818818505,29.9732839036,9.9966840429,0.6164868211569078,9.266351590385105,Medio,
Paid Off,déc.-22,31/12/2022,2022,AP2239-006,Enterprise,Yes - Include,0,1/1/2007,"18,01",Imagenology,Radiology & Imaging,ELECTRONIC CARE,XD 14 DETECTOR (FXRD-3643VAW),2022,VEABBF020," $ 650 468,62 "," $ 29 783,36 ",1120,22400," $ 620,00 ",  67 200 ,67200,504," $ 7 000,00 ",120.0,Medium,Medium,30%,100,72,150,222,Yes,Urban,86190,South,Mexico,Tabasco,Centro,Villahermosa,"Centro, Tabasco, Mexico",https://www.instagram.com/ceracom_villahermosa/,https://www.facebook.com/CERACOM/?ref=page_internal,https://ceracom.mx/?fbclid=IwAR0H9BDP9oHQ-4rqb_UosOWDrZ-C5z20-mGbWYS59oSvW-Aw6xjfuYwzDtE,,"AV CESAR SANDINO 639, Centro, Tabasco, Mexico",17.9759455,-92.9350639,"CENTRO, TABASCO, MEXICO","TABASCO, MEXICO",POINT (-92.9350639 17.9759455),54291,27,004,0001,1492,2700400011492,Urbana,6670,2528,3485.0,5653.0,4938.0,2070.0,0.91,1969.0,1694.0,922.0,778.0,1054.0,1395.0,836.0,584.0,271.0,27.0,Tabasco,4.0,Centro,35.8057118373,6.4020908474,52.6818818505,29.9732839036,9.9966840429,0.6164868211569078,9.266351590385105,Medio,
Paid Off,oct.-23,31/10/2023,2023,AP2240-001,Woman,Yes,0,1/1/1996,"29,02",Ophthalmology,Ophthalmology,ISEM ,Unidad de refracción Euro,2023,42183024," $ 128 000,00 "," $ 5 860,81 ",17,340," $ 620,00 ",  1 020 ,1020,28," $ 22 000,00 ",,Micro,Micro,50%,0,1,2,3,No,Urban,66468,NorthEast,Mexico,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,"San Nicolás de los Garza, Nuevo León, Mexico",,,https://mx.linkedin.com/in/dra-maria-del-roble-torres-adame-9666923b,,"AV DIEGO DIAZ DE BERLANGA 239, San Nicolás de los Garza, Nuevo León, Mexico",25.7122423,-100.2858888,"SAN NICOLÁS DE LOS GARZA, NUEVO LEÓN, MEXICO","NUEVO LEÓN, MEXICO",POINT (-100.2858888 25.7122423),39527,19,046,0001,0339,1904600010339,Urbana,1314,445,655.0,1175.0,1133.0,396.0,0.68,394.0,382.0,338.0,316.0,269.0,339.0,255.0,164.0,96.0,19.0,Nuevo León,46.0,San Nicolás de los Garza,10.8436917705,0.367498605,30.6051056802,8.109895877,7.3871846157,0.5574468085106383,27.50914368288711,Alto,
Paid Off,oct.-23,31/10/2023,2023,AP2240-003,Woman,Yes - Include,0,1/1/1996,"29,02",Ophthalmology,Ophthalmology,ISEM ,Lampara de hendidura S360,2024,S360-J202205647-01-00011," $ 85 000,00 "," $ 3 891,94 ",17,340," $ 620,00 ",  1 020 ,1020,28," $ 22 000,00 ",,Micro,Micro,50%,0,1,2,3,No,Urban,66468,NorthEast,Mexico,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,"San Nicolás de los Garza, Nuevo León, Mexico",,,https://mx.linkedin.com/in/dra-maria-del-roble-torres-adame-9666923b,,"AV DIEGO DIAZ DE BERLANGA 239, San Nicolás de los Garza, Nuevo León, Mexico",25.7122423,-100.2858888,"SAN NICOLÁS DE LOS GARZA, NUEVO LEÓN, MEXICO","NUEVO LEÓN, MEXICO",POINT (-100.2858888 25.7122423),39527,19,046,0001,0339,1904600010339,Urbana,1314,445,655.0,1175.0,1133.0,396.0,0.68,394.0,382.0,338.0,316.0,269.0,339.0,255.0,164.0,96.0,19.0,Nuevo León,46.0,San Nicolás de los Garza,10.8436917705,0.367498605,30.6051056802,8.109895877,7.3871846157,0.5574468085106383,27.50914368288711,Alto,
Paid Off,déc.-24,31/12/2024,2024,AP2057-003,Enterprise,Yes,-,1/1/2018,"7,00",Physiotherapy,Cardiology & Related,BTL,6000 RSWT Magnum Elite,2024,84400B001243," $ 388 410,00 "," $ 17 784,34 ",28,560," $ 700,00 ",  1 680 ,1680,-, - ,,Micro,Micro,55%,0,2,1,3,Yes,Urban,52937,Center,Mexico,México,Atizapán de Zaragoza,Ciudad Adolfo López Mateos,"Atizapán de Zaragoza, México, Mexico",https://instagram.com/thesportlabmx?utm_medium=copy_link,https://www.facebook.com/TheSportlabMedicalCenter,,,"MANZANA 002, Atizapán de Zaragoza, México, Mexico",19.5705827,-99.2190058,"ATIZAPÁN DE ZARAGOZA, MÉXICO, MEXICO","MÉXICO, MEXICO",POINT (-99.2190058 19.5705827),28158,15,013,0001,1465,1501300011465,Urbana,3253,1057,1826.0,2860.0,2678.0,999.0,0.66,991.0,964.0,893.0,729.0,804.0,877.0,575.0,373.0,249.0,15.0,México,13.0,Atizapán de Zaragoza,38.3074404439,3.8827093467,47.7393042219,12.2904872515,9.8927926049,0.6384615384615384,26.696666674082508,Alto,
Paid Off,déc.-22,31/12/2022,2022,AP2286-001,Enterprise,No,S1 2023,7/4/2021,"3,74",Imagenology,Radiology & Imaging,sinopower,Inyector sinopo,2022,1090413057," $ 348 000,00 "," $ 15 934,07 ",18,360," $ 620,00 ",  1 080 ,1080,10," $ 7 000,00 ",,Small,Small,40%,1,2,5,7,No,Urban,83100,NorthWest,Mexico,Sonora,Hermosillo,Hermosillo,"Hermosillo, Sonora, Mexico",https://www.facebook.com/CEMHMO,https://www.facebook.com/UDAHermosillo,https://www.bexaray.com/,,"ISRAEL GONZALEZ 113, Hermosillo, Sonora, Mexico",29.117578,-110.9599866,"HERMOSILLO, SONORA, MEXICO","SONORA, MEXICO",POINT (-110.9599866 29.117578),52480,26,030,0001,5128,2603000015128,Urbana,2824,1095,1413.0,2582.0,2337.0,970.0,0.55,971.0,935.0,842.0,849.0,761.0,855.0,632.0,446.0,198.0,26.0,Sonora,30.0,Hermosillo,22.4210124886,3.0435506066,34.1499105763,17.126284265,9.6976883644,0.5472501936483346,25.792763208660624,Alto,
Active,déc.-24,31/12/2024,2024,AP2151-003,Woman,No,-,1/1/2011,"14,01",Physiotherapy,Cardiology & Related,BTL,BTL,2024,04300B101788 ," $ 298 717,91 "," $ 13 677,56 ",26,520," $ 700,00 ",  1 560 ,1560,-, - ,,Small,Small,30%,0,2,4,6,No,Urban,53100,Center,Mexico,México,Naucalpan de Juárez,Naucalpan de Juárez,"Naucalpan de Juárez, México, Mexico",NO USA REDES SOCIALES,,https://mx.linkedin.com/in/myrope-sanjuan-v%C3%A1squez-aa09751b0,,"CALLE MANUEL E IZAGUIRRE 11, Naucalpan de Juárez, México, Mexico",19.4788356,-99.2327986,"NAUCALPAN DE JUÁREZ, MÉXICO, MEXICO","MÉXICO, MEXICO",POINT (-99.2327986 19.4788356),29837,15,057,0001,1440,1505700011440,Urbana,2420,897,1324.0,2206.0,1771.0,832.0,0.56,807.0,758.0,694.0,591.0,614.0,716.0,514.0,369.0,196.0,15.0,México,57.0,Naucalpan de Juárez,42.6054903693,4.8604010942,50.1515738406,15.0436003336,10.2421463085,0.600181323662738,23.70898845094835,Alto,500.0
Active,D3.1,9/12/2022,2022,AP2159-001,Man,No,0,6/6/1985,"39,59726027",Physiotherapy,Cardiology & Related,Btl Fisioterapia,BTL-6000 SIS / Sistema súper inductivo / ARRE,2022,-," $ 862 481,98 "," $ 39 490,93 ",10,200," $ 700,00 ",  600 ,600,13, N/A ,,Small,Small,20%,0,1,5,6,No,Urban,34270,NorthEast,Mexico,Durango,Durango,Victoria de Durango,"Durango, Durango, Mexico",https://dr-mauricio-pinal.negocio.site/,https://www.facebook.com/Drmauriciopinal,https://www.doctoralia.com.mx/mauricio-antonio-pinal-saenz/especialista-en-rehabilitacion-y-medicina-fisica/durango,,"SCOP 407, Durango, Durango, Mexico",24.0241463,-104.6501124,"DURANGO, DURANGO, MEXICO","DURANGO, MEXICO",POINT (-104.6501124 24.0241463),14449,10,005,0001,0316,1000500010316,Urbana,1364,547,676.0,1168.0,1006.0,447.0,0.55,440.0,405.0,343.0,307.0,310.0,352.0,261.0,176.0,109.0,10.0,Durango,5.0,Durango,32.1046854266,1.9955972384,45.2300009993,15.7648910829,8.7324702033,0.5787671232876712,19.393273916591824,Alto,
Paid Off,D3.1,9/12/2022,2022,AP2195-001,Enterprise,No,0,6/6/1985,"39,60",Physiotherapy,Cardiology & Related,BTL ,6000 SIS ,2022,09900B005272," $ 878 467,00 "," $ 40 222,85 ",13,260," $ 700,00 ",  780 ,780,8, N/A ,,Small,Small,15%,0,2,4,6,Yes,Urban,44600,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",https://mx.linkedin.com/in/fuerza-y-equilibrio-s-c-3043bb82,https://www.facebook.com/rehabilitacionfisica.fuerzayequilibrio/,fuerzayequilibrio.com,,"LUIS PEREZ VERDIA 188, Guadalajara, Jalisco, Mexico",20.677904,-103.377287,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.377287 20.677904),24343,14,039,0001,1306,1403900011306,Urbana,617,298,377.0,568.0,480.0,255.0,0.49,254.0,239.0,215.0,224.0,213.0,229.0,176.0,129.0,52.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.6637323943661971,26.69693501725186,Alto,1218.1818181818182
Active,sept.-25,31/09/2025,2025,AP2289-004,Man,Yes,,1/11/2020,"5,21",Imagenology,Radiology & Imaging,Winback ,Back 3TX Trolley,2025,"WGE0E02B3TX25010081,"," $ 368 659,99 "," $ 17 983,41 ",15,300," $ 620,00 ",  900 ,900,16," $ 7 000,00 ",,Micro,Micro,39%,1,1,3,4,Yes,Urban,83190,NorthWest,Mexico,Sonora,Hermosillo,Hermosillo,"Hermosillo, Sonora, Mexico",https://www.instagram.com/fmo_ft/,https://www.facebook.com/DiplomadoFMO,https://www.doctoralia.com.mx/armando-campos-lopez/fisioterapeuta/sonora,,"AV OVALO CUAUHTEMOC SUR 22, Hermosillo, Sonora, Mexico",29.0948207,-110.9692202,"HERMOSILLO, SONORA, MEXICO","SONORA, MEXICO",POINT (-110.9692202 29.0948207),52457,26,030,0001,1996,2603000011996,Urbana,823,465,475.0,748.0,658.0,270.0,0.57,267.0,235.0,200.0,195.0,186.0,230.0,143.0,126.0,50.0,26.0,Sonora,30.0,Hermosillo,22.4210124886,3.0435506066,34.1499105763,17.126284265,9.6976883644,0.6350267379679144,12.121804497594526,Medio,
Paid Off,avr.-23,30/4/2023,2023,AP2325-001,Woman,No,0,19/4/1988,"36,73",Imagenology,Radiology & Imaging,GENERAL ELECTRIC,FSWT  BTL-6000 DR. JOSE LUIS CARRILLO,2023,6141559WX0," $ 510 400,00 "," $ 23 369,96 ",12,240," $ 620,00 ",  720 ,720,3," $ 7 000,00 ",,Micro,Micro,70%,1,1,1,2,No,Urban,38060,West-Bajio,Mexico,Guanajuato,Celaya,Celaya,"Celaya, Guanajuato, Mexico",https://www.instagram.com/miurologomiguelhernandez/,https://www.facebook.com/miurologomiguelhernandez,https://www.uromexico.com/,https://www.linkedin.com/in/miguel-%C3%A1ngel-hern%C3%A1ndez-far%C3%ADas-0438a9210/?originalSubdomain=mx,"MUTUALISMO 220, Celaya, Guanajuato, Mexico",20.5181775,-100.8234007,"CELAYA, GUANAJUATO, MEXICO","GUANAJUATO, MEXICO",POINT (-100.8234007 20.5181775),18883,11,007,0001,0211,1100700010211,Urbana,4424,1713,2510.0,3818.0,3339.0,1309.0,0.78,1270.0,1115.0,837.0,619.0,686.0,919.0,795.0,306.0,153.0,11.0,Guanajuato,7.0,Celaya,40.4969922484,5.0710341561,51.3194259338,19.2738667239,13.5461978367,0.6574122577265584,11.372828174063216,Medio,
Active,déc.-22,31/12/2022,2022,AP2285-001,Man,No,0,1/1/2011,"14,00821918",Physiotherapy,Cardiology & Related,Btl Fisioterapia,BLT-6000 TR-Therapy con carro de traslado-2022,2022,04900B003709 ," $ 320 866,00 "," $ 14 691,67 ",32,640," $ 700,00 ",  1 920 ,1920,300, N/A ,,Small,Small,15%,8,4,3,7,No,Urban,3100,Center,Mexico,Ciudad de México,Benito Juárez,Ciudad de México,"Benito Juárez, Ciudad de México, Mexico",https://www.instagram.com/clinicamover_t/,https://www.facebook.com/FisioterapiayClinicaMoverT,https://www.tiktok.com/@clinicamovert?_t=8WcPH3Zxi2X&_r=1,,"PILARES 506, Benito Juárez, Ciudad de México, Mexico",19.3760798,-99.1578873,"BENITO JUÁREZ, CIUDAD DE MÉXICO, MEXICO","CIUDAD DE MÉXICO, MEXICO",POINT (-99.1578873 19.3760798),12968,09,014,0001,0628,0901400010628,Urbana,5347,2315,3234.0,4915.0,4119.0,2082.0,0.54,2069.0,1885.0,1785.0,1455.0,1792.0,1922.0,1564.0,1150.0,614.0,9.0,Ciudad de México,14.0,Benito Juárez,7.8838259079,0.3122662478,32.5983279742,5.6773679634,2.8708930878,0.6579857578840285,31.84116507889672,Alto,575.0
Active,mars-23,31/3/2023,2023,AP2332-001,Enterprise,No,0,13/10/2000,"24,23287671",Ophthalmology,Ophthalmology,OERTLI,OPMI Pico - Start Up,2021,78730008," $ 2 021 300,00 "," $ 92 550,37 ",40,800," $ 620,00 ",  2 400 ,2400,8," $ 22 000,00 ",,Small,Small,10%,5,4,4,8,Yes,Urban,44690,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",https://www.instagram.com/laserchoza/?hl=es,https://www.facebook.com/laserchozaoficial/,https://www.oftalmologoguadalajara.mx/,,"AV DIAGONAL GOLFO DE CORTEZ 2980, Guadalajara, Jalisco, Mexico",20.6720375,-103.338396,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.338396 20.6720375),24329,14,039,0001,1895,1403900011895,Urbana,1933,814,1094.0,1620.0,1154.0,572.0,0.83,517.0,411.0,323.0,173.0,251.0,359.0,255.0,85.0,88.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.6753086419753086,8.898480963295034,Medio,900.0
Active,août-23,31/8/2023,2023,AP2340-001,Woman,No,0,1/9/2014,"10,33972603",Imagenology,Radiology & Imaging,DR GEM ,GXR 40S,2022,DXI22A0268A," $ 987 798,00 "," $ 45 228,85 ",5,100," $ 620,00 ",  300 ,300,0," $ 7 000,00 ",,Micro,Micro,30%,1,1,2,3,No,Urban,90250,Center,Mexico,Tlaxcala,Tlaxco,Tlaxco,"Tlaxco, Tlaxcala, Mexico",,,https://www.linkedin.com/in/yanet-gutierrez-hernandez-7a399ba0/?originalSubdomain=mx,,"AQUILES SERDAN 17, Tlaxco, Tlaxcala, Mexico",19.6117136,-98.1219932,"TLAXCO, TLAXCALA, MEXICO","TLAXCALA, MEXICO",POINT (-98.1219932 19.6117136),57594,29,034,0001,0473,2903400010473,Urbana,1667,585,824.0,1341.0,954.0,473.0,0.91,340.0,277.0,161.0,181.0,113.0,148.0,255.0,29.0,33.0,29.0,Tlaxcala,34.0,Tlaxco,67.5362082009,8.2000469636,79.4442201272,31.3768199948,20.1979487788,0.6144668158090977,-2.9944690636591176,Bajo-Medio,
Paid Off,D2.3,30/6/2023,2023,AP2353-001,Enterprise,No,-,1/1/2012,"12,01",Imagenology,Radiology & Imaging,MERCADO MEDICO ,FLAT PANEL ,2022,14HK701G-W," $ 428 000,00 "," $ 19 597,07 ",36,1080," $ 800,00 ",  3 240 ,6480,6," $ 8 000,00 ",,Small,Small,30%,0,2,10,12,Yes,Urban,25290,NorthEast,Mexico,Coahuila de Zaragoza,Saltillo,Saltillo,"Saltillo, Coahuila de Zaragoza, Mexico",https://www.instagram.com/cuidamex/,https://www.facebook.com/CuidaMex,https://cuidamex.com/,,"BLVD NAZARIO ORTIZ GARZA 682, Saltillo, Coahuila de Zaragoza, Mexico",25.4554792,-100.9761564,"SALTILLO, COAHUILA DE ZARAGOZA, MEXICO","COAHUILA DE ZARAGOZA, MEXICO",POINT (-100.9761564 25.4554792),4908,05,030,0001,1975,0503000011975,Urbana,1839,646,925.0,1592.0,1663.0,578.0,0.51,578.0,566.0,544.0,552.0,516.0,558.0,399.0,399.0,221.0,5.0,Coahuila de Zaragoza,30.0,Saltillo,17.634660065,1.5530563916,27.4237086859,11.1069237282,8.3319845808,0.5810301507537688,33.736086611050524,Alto,
Paid Off,D2.3,30/6/2023,2023,AP2355-001,Man,No,0,1/1/1993,"32,02",Imagenology,Radiology & Imaging,CARESTREAM,BTL-1300 BOBATH,2023,H30F113K1115210005," $ 462 840,00 "," $ 21 192,31 ",70,1400," $ 620,00 ",  4 200 ,4200,14," $ 7 000,00 ",,Small,Small,20%,4,2,7,9,Yes,Urban,22504,NorthWest,Mexico,Baja California,Tijuana,Tijuana,"Tijuana, Baja California, Mexico",https://www.doctoranytime.mx/d/medico-general/dr-victor-alejandro-lucero-perez,https://www.facebook.com/MEDICA.PLAYAS/,https://www.doctoralia.com.mx/victor-alejandro-lucero-perez/medico-general/tijuana,,"AV PLAYAS ENSENADA 502, Tijuana, Baja California, Mexico",32.5317397,-117.019529,"TIJUANA, BAJA CALIFORNIA, MEXICO","BAJA CALIFORNIA, MEXICO",POINT (-117.019529 32.5317397),1576,02,004,0001,3357,0200400013357,Urbana,342,154,225.0,315.0,232.0,151.0,0.64,145.0,106.0,117.0,104.0,108.0,121.0,79.0,78.0,30.0,2.0,Baja California,4.0,Tijuana,23.7023626651,1.8559351458,45.6075332604,13.5549648934,13.7805702203,0.7142857142857143,25.46872221468218,Alto,
Active,avr.-23,30/4/2023,2023,AP2358-001,Man,No,0,17/6/2008,"16,55068493",Imagenology,Radiology & Imaging,CARESTREAM,SONOSITE M-TURBO C + 2 TRANSDUCTORES,2024,H30F113K0502220015," $ 464 000,00 "," $ 21 245,42 ",45,900," $ 370,00 ",  2 700 ,2700,0," $ 3 000,00 ",,Small,Small,30%,3,5,4,9,No,Rural,45350,West-Bajio,Mexico,Jalisco,El Arenal,El Arenal,"El Arenal, Jalisco, Mexico",https://www.instagram.com/sante_centro_de_diagnostico/,https://www.facebook.com/santecentrodediagnostico,https://www.santecentrodediagnostico.com.mx/,,"JESUS GARCIA 46, El Arenal, Jalisco, Mexico",20.7820304,-103.6986841,"EL ARENAL, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.6986841 20.7820304),23246,14,009,0001,0046,1400900010046,Urbana,3363,1151,1670.0,2637.0,2104.0,912.0,0.92,893.0,800.0,415.0,481.0,333.0,461.0,580.0,129.0,82.0,14.0,Jalisco,9.0,El Arenal,30.9227480961,1.9236542576,50.4704497989,11.5907753187,15.6900426099,0.6332954114524081,9.977593124186344,Medio,
Paid Off,déc.-22,31/12/2022,2022,AP2289-001,Man,Yes - Include,0,1/1/2013,"12,01",Physiotherapy,Cardiology & Related,Btl Fisioterapia,BTL - 60000 SWT EASY 15% DESCUENTO,2021,0," $ 263 329,44 "," $ 12 057,21 ",12,240," $ 700,00 ",  720 ,720,450, N/A ,,Small,Small,35%,4,4,5,9,No,Urban,83150,NorthWest,Mexico,Sonora,Hermosillo,Hermosillo,"Hermosillo, Sonora, Mexico",https://www.instagram.com/fmo_ft/,https://www.facebook.com/DiplomadoFMO,https://www.doctoralia.com.mx/armando-campos-lopez/fisioterapeuta/sonora,,"IGNACIO VALLARTA 12, Hermosillo, Sonora, Mexico",29.1023081,-110.9521072,"HERMOSILLO, SONORA, MEXICO","SONORA, MEXICO",POINT (-110.9521072 29.1023081),52456,26,030,0001,1958,2603000011958,Urbana,1022,456,504.0,969.0,876.0,339.0,0.46,338.0,329.0,306.0,309.0,302.0,316.0,281.0,228.0,82.0,26.0,Sonora,30.0,Hermosillo,22.4210124886,3.0435506066,34.1499105763,17.126284265,9.6976883644,0.5201238390092879,23.067762051845424,Alto,
Active,mars-23,31/3/2023,2023,AP2374-001,Man,No,0,1/6/2015,"9,591780822",Imagenology,Radiology & Imaging,GENERAL ELECTRIC,--OPMI PICO DENTAL PRO ,2022,LP7370085," $ 835 200,00 "," $ 38 241,76 ",12,240," $ 620,00 ",  720 ,720,0," $ 7 000,00 ",,Micro,Micro,80%,1,1,2,3,No,Urban,34000,NorthEast,Mexico,Durango,Durango,Victoria de Durango,"Durango, Durango, Mexico",,https://www.facebook.com/RadiologoDr.HectorRamirezCazares?mibextid=LQQJ4d,,,"VICTORIA SUR 105, Durango, Durango, Mexico",24.0019256,-104.6548324,"DURANGO, DURANGO, MEXICO","DURANGO, MEXICO",POINT (-104.6548324 24.0019256),14562,10,005,0001,5406,1000500015406,Urbana,2628,780,1258.0,2153.0,2089.0,692.0,0.81,672.0,621.0,475.0,472.0,410.0,490.0,278.0,164.0,133.0,10.0,Durango,5.0,Durango,32.1046854266,1.9955972384,45.2300009993,15.7648910829,8.7324702033,0.5843009753831863,18.25670996928225,Medio-Alto,
Paid Off,déc.-22,31/12/2022,2022,AP2383-001,Enterprise,No,-,14/4/2008,"15,72",Odontology,Odontology,CEREC,PRIMEMILL CON SW INLAB CAD CAM,2022,-," $ 1 820 281,00 "," $ 83 346,20 ",70,2100," $ 1 100,00 ",  6 300 ,12600,56," $ 10 000,00 ",,Small,Medium,5%,3,4,6,10,Yes,Urban,84030,NorthWest,Mexico,Sonora,Nogales,Heroica Nogales,"Nogales, Sonora, Mexico",https://www.instagram.com/arizona.dental.nogales/,https://www.facebook.com/arizonadentalnowofficial,https://arizonadentalnow.com/,,"PESQUEIRA 14, Nogales, Sonora, Mexico",31.3321596,-110.9439586,"NOGALES, SONORA, MEXICO","SONORA, MEXICO",POINT (-110.9439586 31.3321596),53161,26,043,0001,0197,2604300010197,Urbana,1171,541,602.0,994.0,864.0,396.0,0.7,376.0,301.0,275.0,215.0,169.0,272.0,247.0,109.0,61.0,26.0,Sonora,43.0,Nogales,29.4999500537,2.3819054192,32.2419979699,14.137798606,9.7719052787,0.6056338028169014,13.12015284728456,Medio-Alto,
Paid Off,mars-23,31/3/2023,2023,AP2385-001,Woman,No,0,2/1/2017,"8,00",Imagenology,Radiology & Imaging,GENERAL ELECTRIC,BTL-4110 Smart  Laser,2023,LP9370900," $ 881 600,00 "," $ 40 366,30 ",50,1000," $ 620,00 ",  3 000 ,3000,12," $ 7 000,00 ",,Small,Small,70%,3,3,7,10,No,Urban,25230,NorthEast,Mexico,Coahuila de Zaragoza,Saltillo,Saltillo,"Saltillo, Coahuila de Zaragoza, Mexico",https://www.drpedrodominguez.com/,https://m.facebook.com/people/Ecografias-Y-Rayos-X-DrPedro-Dominguez/100054543575835/,https://www.linkedin.com/in/pedro-dominguez-rodriguez-a8b9aa40/?originalSubdomain=mx,,"BLVD VENUSTIANO CARRANZA 3932, Saltillo, Coahuila de Zaragoza, Mexico",25.4899293,-100.9689982,"SALTILLO, COAHUILA DE ZARAGOZA, MEXICO","COAHUILA DE ZARAGOZA, MEXICO",POINT (-100.9689982 25.4899293),5039,05,030,0001,3011,0503000013011,Urbana,2423,893,1330.0,2107.0,2174.0,818.0,0.59,817.0,781.0,739.0,764.0,693.0,761.0,557.0,469.0,248.0,5.0,Coahuila de Zaragoza,30.0,Saltillo,17.634660065,1.5530563916,27.4237086859,11.1069237282,8.3319845808,0.6312292358803987,32.74198908732696,Alto,
Active,sept.-25,31/09/2025,2025,AP2390-002,Enterprise,No,,14/1/2016,"10,01",Ophthalmology,Ophthalmology,Zeiss,HFA 3 850,2025,850- 17214 ," $ 900 000,00 "," $ 43 902,44 ",150,3000," $ 620,00 ",  9 000 ,9000,280," $ 22 000,00 ",,Medium,Medium,43%,1,10,13,23,Yes,Urban,44650,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",https://www.instagram.com/oftalmedix/,,,,"LUIS PEREZ VERDIA 372, Guadalajara, Jalisco, Mexico",20.677904,-103.377287,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.377287 20.677904),24343,14,039,0001,1306,1403900011306,Urbana,617,298,377.0,568.0,480.0,255.0,0.49,254.0,239.0,215.0,224.0,213.0,229.0,176.0,129.0,52.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.6637323943661971,26.69693501725186,Alto,1218.1818181818182
